,danceability,valence,year,fedfundrate,UnemploymentRate,recession,election,US_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
178,0.5015000000000001,0.9255,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
179,0.539,0.4920000000000001,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
180,0.867,0.939,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
181,0.431,0.31,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
182,0.4685,0.6034999999999999,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
183,0.44,0.4505,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
184,0.397,0.199,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
185,0.442,0.932,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
186,0.7120000000000001,0.966,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
187,0.567,0.271,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
188,0.645,0.701,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
189,0.732,0.6,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
190,0.774,0.963,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
191,0.271,0.19,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
192,0.409,0.215,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
193,0.714,0.961,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
194,0.858,0.902,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
195,0.646,0.728,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
196,0.589,0.789,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
197,0.461,0.856,1962,2.7083333333333335,5.566666666666667,0,0,603.9214999999999,1962,194886.0,3.461,1323.6,-0.09
