,danceability,valence,year,recession,election,fedfundrate,UnemploymentRate,US_GDP,Entertainment_GDP,year_1,State_prisons,fertility,DeathRate,S&P500
173,0.628,0.336,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
174,0.83,0.653,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
175,0.718,0.384,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
176,0.496,0.151,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
177,0.606,0.179,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
178,0.75,0.506,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
179,0.747,0.555,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
180,0.77,0.474,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
181,0.682,0.478,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
182,0.664,0.6990000000000001,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
183,0.4125,0.615,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
184,0.813,0.792,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
185,0.733,0.6609999999999999,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
186,0.6609999999999999,0.256,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
187,0.682,0.7120000000000001,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
188,0.725,0.607,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
189,0.5605,0.2655,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
190,0.745,0.8059999999999999,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
191,0.531,0.461,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
192,0.8740000000000001,0.5735,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
193,0.8490000000000001,0.856,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
194,0.629,0.285,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
195,0.612,0.841,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
196,0.303,0.505,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
197,0.758,0.797,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
198,0.7290000000000001,0.6829999999999999,1999,0,0,4.97,4.216666666666668,9411.682,44509.0,1999,1189806.0,2.0075,875.6,0.21
199,0.529,0.278,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
200,0.609,0.961,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
201,0.7245,0.59,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
202,0.637,0.741,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
203,0.6725,0.7090000000000001,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
204,0.583,0.7590000000000001,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
205,0.5605,0.2655,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
206,0.518,0.527,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
207,0.738,0.754,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
208,0.459,0.431,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
209,0.783,0.762,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
210,0.7709999999999999,0.6829999999999999,2000,0,1,6.235833333333333,3.9666666666666663,10002.179,49295.0,2000,1209130.0,2.056,869.0,-0.09
